page,place_overall,place_gender,nombre,tiempo_neto,division,gender
1,,90,"Adam, Thomas","Finish Gun
02:29:18",18-39,M
1,,91,"Berger, Joe","Finish Gun
02:29:20",18-39,M
1,,92,"Ferretti, Nicolas","Finish Gun
02:29:32",18-39,M
1,,93,"Luethi, Dimitri","Finish Gun
02:29:41",18-39,M
1,,94,"Healey, Alexander","Finish Gun
02:29:38",18-39,M
1,,95,"Meehan, Michael","Finish Gun
02:29:30",18-39,M
1,,96,"Danielczuk, Michael","Finish Gun
02:29:38",18-39,M
1,,97,"Urban, Josh","Finish Gun
02:29:33",18-39,M
1,,98,"Klein, Eric","Finish Gun
02:29:44",18-39,M
1,,99,"Armstrong, Vajin","Finish Gun
02:29:33",40-44,M
1,,100,"Dynan, Matt","Finish Gun
02:29:35",18-39,M
1,,101,"Wood, Chris","Finish Gun
02:29:46",18-39,M
1,,102,"Fosti, Roman","Finish Gun
02:29:44",40-44,M
1,,103,"Bünz, Benedikt","Finish Gun
02:32:10",18-39,M
1,,104,"Curley, Michael","Finish Gun
02:30:21",18-39,M
1,,105,"Termorshuizen, Luke","Finish Gun
02:30:33",18-39,M
1,,106,"Garrett, Stephen","Finish Gun
02:30:23",18-39,M
1,,107,"Dewolfe, Calvin","Finish Gun
02:30:39",18-39,M
1,,108,"Macdonald, Benjamin","Finish Gun
02:30:45",18-39,M
1,,109,"Mcgrail, Brian","Finish Gun
02:31:23",18-39,M
1,,110,"Opdycke, Tyler","Finish Gun
02:30:46",18-39,M
1,,111,"Horn, Michael","Finish Gun
02:30:53",18-39,M
1,,112,"Casillas Mercado, Santiago","Finish Gun
02:30:49",18-39,M
1,,113,"Oneill, Tim","Finish Gun
02:31:10",18-39,M
1,,114,"Nilsson, David","Finish Gun
02:30:58",18-39,M
1,,115,"Quinn, Adam","Finish Gun
02:31:03",18-39,M
1,,116,"Kovacs, Reid","Finish Gun
02:31:05",18-39,M
1,,117,"Grafentin, Grant","Finish Gun
02:31:11",18-39,M
1,,118,"Procknow, Adam","Finish Gun
02:31:12",18-39,M
1,,119,"Loader, Gabriel","Finish Gun
02:31:17",18-39,M
1,,120,"Galindo Guerra, Jesús","Finish Gun
02:31:32",18-39,M
1,,121,"Mogen, John","Finish Gun
02:31:35",18-39,M
1,,122,"Nagler, Cory","Finish Gun
02:31:40",18-39,M
1,,123,"Aoki-Sherwood, Ben","Finish Gun
02:31:32",18-39,M
1,,124,"Dunning, Ryan","Finish Gun
02:31:35",18-39,M
1,,125,"Broadbent, Logan","Finish Gun
02:31:30",18-39,M
1,,126,"Schroeder, Adam","Finish Gun
02:31:47",40-44,M
1,,127,"English, Jordan","Finish Gun
02:31:42",18-39,M
1,,128,"Baumann, Lenny","Finish Gun
02:31:42",18-39,M
1,,129,"Terekhov, Michael","Finish Gun
02:32:19",18-39,M
1,,130,"Creekmore, Jr","Finish Gun
02:31:53",18-39,M
1,,131,"Dombi, Zach","Finish Gun
02:31:42",18-39,M
1,,132,"Phillips, Ryan","Finish Gun
02:31:51",18-39,M
1,,133,"Tillar, Jannik","Finish Gun
02:31:45",18-39,M
1,,134,"Mcnally, Martin","Finish Gun
02:31:53",40-44,M
1,,135,"Remington, Isaiah","Finish Gun
02:31:44",18-39,M
1,,136,"Greeneway, Jacob","Finish Gun
02:31:56",18-39,M
1,,137,"Mish, Brad","Finish Gun
02:32:01",18-39,M
1,,138,"Rondot, Antoine","Finish Gun
02:31:54",18-39,M
1,,139,"Vander Plaats, Jacob","Finish Gun
02:32:28",18-39,M
1,,140,"Welch, Sam","Finish Gun
02:32:10",18-39,M
1,,141,"Reynolds, Garrett","Finish Gun
02:32:18",18-39,M
1,,142,"Waldum, Adam","Finish Gun
02:32:22",18-39,M
1,,143,"Friesth, Jackson","Finish Gun
02:32:10",18-39,M
1,,144,"Wang, Xianrong","Finish Gun
02:32:14",40-44,M
