page,place_overall,place_gender,nombre,tiempo_neto,division,gender
1,2095,105,"Kizershot White, Michaela",02:59:58,18-39,W
1,2104,106,"Dambrosia, Katie",03:00:11,18-39,W
1,2108,107,"Baeza Fuentes, Sofia Carolina",03:01:17,40-44,W
1,2111,108,"Morrissey, Katrina",02:56:50,18-39,W
1,2141,109,"Hoffstadt, Christin",02:57:07,18-39,W
1,2143,110,"Howe, Emma",02:58:39,18-39,W
1,2148,111,"Brash, Lucy",02:59:33,18-39,W
1,2149,112,"Haug, Heather",03:00:07,18-39,W
1,2157,113,"Veneziano, Lisa",03:01:08,55-59,W
1,2177,114,"Priebe, Maggie",02:56:59,18-39,W
1,2183,115,"Dixon, Kimberly",03:02:14,18-39,W
1,2187,116,"Miller, Caitlyn",03:00:18,18-39,W
1,2211,117,"Lee, Andrea",02:58:24,18-39,W
1,2215,118,"Moran, Emily",02:57:44,18-39,W
1,2219,119,"Mendoza, Connie",03:03:21,18-39,W
1,2231,120,"Robison, Kristen",03:01:50,18-39,W
1,2243,121,"Arquette, Meghan",03:01:26,18-39,W
1,2244,122,"Hawkins, Julia",03:00:32,18-39,W
1,2250,123,"Chediak, Grace",03:02:09,18-39,W
1,2258,124,"Solimine, Jaclyn",02:58:35,18-39,W
1,2259,125,"Chang, Trillium",03:00:25,18-39,W
1,2268,126,"Crain, Amy",03:01:48,45-49,W
1,2271,127,"Mcginley, Caitlin",02:57:56,18-39,W
1,2272,128,"Tan, Emilie",03:01:22,18-39,W
1,2279,129,"Christopher, Maddy",02:57:32,18-39,W
1,2281,130,"Shwayder, Elianna",03:00:55,18-39,W
1,2282,131,"Quinlan, Amanda",03:03:00,18-39,W
1,2297,132,"Boswell, Rachel",02:59:59,18-39,W
1,2308,133,"Shvygin, Anna",02:57:50,18-39,W
1,2314,134,"Jaffke, Erin",02:58:52,18-39,W
1,2323,135,"Roberts, Lisa",03:02:40,45-49,W
1,2326,136,"Maltais-Bilodeau, Camille",03:04:37,18-39,W
1,2329,137,"Bugara, Grace",03:04:32,18-39,W
1,2358,138,"Calderon-Cordero, Ana",03:04:01,18-39,W
